0 8 9 10 + 3
0 8 9 10 + 4
0 8 9 10 + 5
0 8 9 10 + 6
0 8 9 10 + 7
0 8 9 10 + 11
0 8 9 10 + 12
0 8 9 10 + 13
0 8 9 10 + 14
0 8 9 10 + 15
4 8 9 10 + 0
4 8 9 10 + 1
4 8 9 10 + 2
4 8 9 10 + 3
4 8 9 10 + 5
4 8 9 10 + 6
4 8 9 10 + 7
4 8 9 10 + 11
4 8 9 10 + 12
4 8 9 10 + 13
4 8 9 10 + 14
4 8 9 10 + 15
1 2 3 11 + 0
1 2 3 11 + 4
1 2 3 11 + 5
1 2 3 11 + 6
1 2 3 11 + 7
1 2 3 11 + 8
1 2 3 11 + 9
1 2 3 11 + 10
1 2 3 11 + 12
1 2 3 11 + 13
1 2 3 11 + 14
1 2 3 11 + 15
0 3 7 11 + 1
0 3 7 11 + 2
0 3 7 11 + 4
0 3 7 11 + 5
0 3 7 11 + 6
0 3 7 11 + 8
0 3 7 11 + 9
0 3 7 11 + 10
0 3 7 11 + 12
0 3 7 11 + 13
0 3 7 11 + 14
0 3 7 11 + 15
1 3 7 11 + 0
1 3 7 11 + 2
1 3 7 11 + 4
1 3 7 11 + 5
1 3 7 11 + 6
1 3 7 11 + 8
1 3 7 11 + 9
1 3 7 11 + 10
1 3 7 11 + 12
1 3 7 11 + 13
1 3 7 11 + 14
1 3 7 11 + 15
2 3 7 11 + 0
2 3 7 11 + 1
2 3 7 11 + 4
2 3 7 11 + 5
2 3 7 11 + 6
2 3 7 11 + 8
2 3 7 11 + 9
2 3 7 11 + 10
2 3 7 11 + 12
2 3 7 11 + 13
2 3 7 11 + 14
2 3 7 11 + 15
3 6 7 11 + 0
3 6 7 11 + 1
3 6 7 11 + 2
3 6 7 11 + 4
3 6 7 11 + 5
3 6 7 11 + 8
3 6 7 11 + 9
3 6 7 11 + 10
3 6 7 11 + 12
3 6 7 11 + 13
3 6 7 11 + 14
3 6 7 11 + 15
5 6 7 11 + 0
5 6 7 11 + 1
5 6 7 11 + 2
5 6 7 11 + 3
5 6 7 11 + 4
5 6 7 11 + 8
5 6 7 11 + 9
5 6 7 11 + 10
5 6 7 11 + 12
5 6 7 11 + 13
5 6 7 11 + 14
5 6 7 11 + 15
2 3 10 11 + 0
2 3 10 11 + 1
2 3 10 11 + 4
2 3 10 11 + 5
2 3 10 11 + 6
2 3 10 11 + 7
2 3 10 11 + 8
2 3 10 11 + 9
2 3 10 11 + 12
2 3 10 11 + 13
2 3 10 11 + 14
2 3 10 11 + 15
3 7 10 11 + 0
3 7 10 11 + 1
3 7 10 11 + 2
3 7 10 11 + 4
3 7 10 11 + 5
3 7 10 11 + 6
3 7 10 11 + 8
3 7 10 11 + 9
3 7 10 11 + 12
3 7 10 11 + 13
3 7 10 11 + 14
3 7 10 11 + 15
6 7 10 11 + 0
6 7 10 11 + 1
6 7 10 11 + 2
6 7 10 11 + 3
6 7 10 11 + 4
6 7 10 11 + 5
